1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;;;;;;;;;;;;;;;;;
Player;Team;Age;GP;W;L;Min;PTS;FGM;FGA;FG%;15:00;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-;OFFRTG;DEFRTG;NETRTG;AST%;AST/TO;AST RATIO;OREB%;DREB%;REB%;TO RATIO;EFG%;TS%;USG%;PACE;PIE;POSS;;;;;;;;;;;;;;;;;;;;;;;;;
Desmond Bane;MEM;26;69;38;31;32;1325;490;1021;48,4;166;421;39,2;179;200;89,4;62;359;421;366;166;83;28;166;2539;10;1;2,1;116,1;113,3;2,8;23,5;2,18;22,7;2,6;15;8,8;10,4;56,5;60;22,7;104,58;13,1;4809;;;;;;;;;;;;;;;;;;;;;;;;;
Evan Mobley;CLE;23;71;58;13;30,5;1314;504;909;55,7;85;227;37;220;305;72,5;163;497;660;227;142;64;114;142;2826;37;0;7,7;120,5;108,6;11,9;14,9;1,56;16,1;7,6;21,3;14,7;10,3;60,4;63,3;22,6;102,16;15,1;4609;;;;;;;;;;;;;;;;;;;;;;;;;
Norman Powell;LAC;32;60;39;21;32,6;1308;456;948;48,4;180;426;41,8;216;264;80,4;24;168;192;126;108;72;12;114;1860;1;0;5,9;116,2;107,4;8,8;9,6;1,16;9,7;1,1;8,5;4,9;8,4;57,8;61,5;25,5;99,69;11;4063;;;;;;;;;;;;;;;;;;;;;;;;;
Miles Bridges;CHA;27;64;16;48;31,7;1299;467;1088;43,1;141;448;31,3;224;256;87;70;410;480;250;134;45;45;96;2381;14;1;-4;108,2;113,6;-5,5;20,3;1,82;15,7;3,3;18,9;11;8,6;49,5;54,1;27,3;100,58;13,5;4239;;;;;;;;;;;;;;;;;;;;;;;;;
Julius Randle;MIN;30;69;44;25;32,3;1290;455;938;48,5;110;317;34,4;269;338;80,6;145;345;490;324;193;48;14;173;2353;14;0;2,4;115;111,6;3,4;22,8;1,65;20,1;6,5;14,9;10,8;12,2;54,2;59,3;24,6;98,45;12,4;4569;;;;;;;;;;;;;;;;;;;;;;;;;
Anthony Davis;DAL;32;51;30;21;33,4;1260;469;908;51,6;36;122;28,2;286;367;77,5;133;454;592;179;112;61;112;97;2637;36;1;0,5;113,3;112,9;0,5;18,2;1,6;13,3;8,3;25,4;17,3;8,3;53,6;58,8;30,1;98,83;17,9;3515;;;;;;;;;;;;;;;;;;;;;;;;;
Scottie Barnes;TOR;23;65;26;39;32,8;1255;475;1066;44,6;78;280;27,1;228;299;75,5;111;390;501;377;182;91;65;111;2704;26;1;-2;107,4;110,1;-2,7;27,9;2,04;21,5;4,7;17,6;11,1;10,5;48,2;52,3;26,2;102,48;13,9;4554;;;;;;;;;;;;;;;;;;;;;;;;;
Derrick White;BOS;30;76;58;18;33,9;1246;426;958;44,2;266;692;38,4;137;160;83,9;68;274;342;365;129;68;84;137;2523;4;0;7,1;119,7;109,5;10,2;19,9;2,76;23,7;2,5;10,1;6,4;8,6;58;60,6;19,5;97,89;10,6;5251;;;;;;;;;;;;;;;;;;;;;;;;;
Kyrie Irving;DAL;33;50;28;22;36,1;1235;445;945;47,3;145;360;40,1;195;215;91,6;60;180;240;230;110;65;25;100;2025;0;0;2,5;116,5;113,9;2,6;19,8;2,08;16,9;3,3;9,3;6,4;8,1;54,9;59,4;26,4;99,98;12,9;3768;;;;;;;;;;;;;;;;;;;;;;;;;
RJ Barrett;TOR;24;58;23;35;32,2;1224;458;980;46,8;104;307;35;197;313;63;64;307;365;313;162;46;17;139;2158;10;2;-2,4;110,1;113,4;-3,4;25,7;1,9;19,6;3,1;15,9;9,4;10,3;52,3;54,7;28;102,74;12,1;3998;;;;;;;;;;;;;;;;;;;;;;;;;
Christian Braun;DEN;24;79;48;31;33,9;1217;474;822;58;87;221;39,7;174;213;82,7;95;308;411;205;79;87;40;174;2299;6;0;6,1;122,7;114,5;8,2;9,6;2,53;17,1;3,9;10,9;7,7;6,8;63,4;66,5;15,5;101,04;9,6;5639;;;;;;;;;;;;;;;;;;;;;;;;;
